STORE|E스퀘어|카페 Gee|image/cafe4/cafe4.jpg
CATEGORY|COFFEE
PRODUCT|에스프레소|1800|image/cafe4/에스프레소.jpg
PRODUCT|H아메리카노|2400|image/cafe4/H아메리카노.jpg
PRODUCT|I아메리카노|2700|image/cafe4/I아메리카노.jpg
PRODUCT|H디카페인 아메|2900|image/cafe4/H디카페인 아메.jpg
PRODUCT|I디카페인 아메|3200|image/cafe4/I디카페인 아메.jpg
PRODUCT|H헤이즐넛 아메|2800|image/cafe4/H헤이즐넛 아메.jpg
PRODUCT|I헤이즐넛 아메|3100|image/cafe4/I헤이즐넛 아메.jpg
PRODUCT|H카페라떼|3100|image/cafe4/H카페라떼.jpg
PRODUCT|I카페라떼|3400|image/cafe4/I카페라떼.jpg
PRODUCT|H바닐라 카페라떼|3500|image/cafe4/H바닐라 카페라떼.jpg
PRODUCT|I바닐라 카페라떼|3800|image/cafe4/I바닐라 카페라떼.jpg
PRODUCT|H카라멜 카페라떼|3500|image/cafe4/H카라멜 카페라떼.jpg
PRODUCT|I카라멜 카페라떼|3800|image/cafe4/I카라멜 카페라떼.jpg
PRODUCT|I헤이즐넛 카페라떼(숏)|3500|image/cafe4/I헤이즐넛 카페라떼(숏).jpg
PRODUCT|I헤이즐넛 카페라떼(롱)|3800|image/cafe4/I헤이즐넛 카페라떼(롱).jpg
PRODUCT|H카푸치노|3200|image/cafe4/H카푸치노.jpg
PRODUCT|I카푸치노|3500|image/cafe4/I카푸치노.jpg
PRODUCT|H카페모카|3900|image/cafe4/H카페모카.jpg
PRODUCT|I카페모카|4200|image/cafe4/I카페모카.jpg
PRODUCT|H카라멜마끼아또|3900|image/cafe4/H카라멜마끼아또.jpg
PRODUCT|I카라멜마끼아또|4200|image/cafe4/I카라멜마끼아또.jpg
PRODUCT|아이스크림라떼|4100|image/cafe4/아이스크림라떼.jpg
PRODUCT|콜드브루|3400|image/cafe4/콜드브루.jpg
PRODUCT|콜드브루라떼|4000|image/cafe4/콜드브루라떼.jpg

CATEGORY|LATTE
PRODUCT|H 초코라떼|3600|image/cafe4/H 초코라떼.jpg
PRODUCT|I 초코라떼|3900|image/cafe4/I 초코라떼.jpg
PRODUCT|H 녹차라떼|3600|image/cafe4/H 녹차라떼.jpg
PRODUCT|I 녹차라떼|3900|image/cafe4/I 녹차라떼.jpg
PRODUCT|I 아이스크림 초콜릿라떼|4500|image/cafe4/I 아이스크림 초콜릿라떼.jpg
PRODUCT|H 토피넛 라떼|3800|image/cafe4/H 토피넛 라떼.jpg
PRODUCT|I 토피넛 라떼|4100|image/cafe4/I 토피넛 라떼.jpg
PRODUCT|딸기라떼|4000|image/cafe4/딸기라떼.jpg
PRODUCT|리얼망고라떼|4200|image/cafe4/리얼망고라떼.jpg
PRODUCT|리얼블루베리라떼|4200|image/cafe4/리얼블루베리라떼.jpg
PRODUCT|우유|2500|image/cafe4/우유.jpg

CATEGORY|FRAPPE&SHAKE
PRODUCT|초코릿 프라페|3900|image/cafe4/초코릿 프라페.jpg
PRODUCT|녹차 프라페|4000|image/cafe4/녹차 프라페.jpg
PRODUCT|요거트 프라페|4000|image/cafe4/요거트 프라페.jpg
PRODUCT|딸기요거트프라페|4200|image/cafe4/딸기요거트프라페.jpg
