STORE|종합강의동|카페 Dictionary|image/cafe5/cafe5.jpg
CATEGORY|커피 (2shot)
PRODUCT|Hot 아메리카노 마스터_고소|2300|image/cafe5/Hot 아메리카노 마스터_고소.jpg
PRODUCT|Hot 아메리카노 로스터_신맛|2300|image/cafe5/Hot 아메리카노 로스터_신맛.jpg
PRODUCT|Ice 아메리카노 마스터_고소|2600|image/cafe5/Ice 아메리카노 마스터_고소.jpg
PRODUCT|Ice 아메리카노 로스터_신맛|2600|image/cafe5/Ice 아메리카노 로스터_신맛.jpg
PRODUCT|Hot디카페인 아메리카노|2800|image/cafe5/Hot디카페인 아메리카노.jpg
PRODUCT|lce디카페인 아메리카노|3100|image/cafe5/Ice디카페인 아메리카노.jpg
PRODUCT|Hot헤이즐넛아메리카노|2800|image/cafe5/Hot헤이즐넛 아메리카노.jpg
PRODUCT|lce헤이즐넛 아메리카노|3100|
PRODUCT|Hot 카페라떼 마스터_고소|3100|image/cafe5/Hot 카페라떼 마스터_고소.jpg
PRODUCT|Hot 카페라떼 로스터_신맛|3100|image/cafe5/Hot 카페라떼 로스터_신맛.jpg
PRODUCT|Ice 카페라떼 마스터_고소|3400|image/cafe5/Ice 카페라떼 마스터_고소.jpg
PRODUCT|Ice 카페라떼 로스터_신맛|3400|image/cafe5/Ice 카페라떼 로스터_신맛.jpg
PRODUCT|Hot바닐라라떼|3500|image/cafe5/Hot 바닐라라떼.jpg
PRODUCT|Ice바닐라라떼|3800|image/cafe5/Ice바닐라라떼.jpg
PRODUCT|Hot헤이즐넛라떼|3500|image/cafe5/Hot헤이즐넛라떼.jpg
PRODUCT|Ice헤이즐넛라떼|3800|image/cafe5/Ice헤이즐넛라떼.jpg
PRODUCT|Hot카푸치노|3200|image/cafe5/Hot카푸치노.jpg
PRODUCT|Ice카푸치노|3500|image/cafe5/Ice카푸치노.jpg
PRODUCT|Hot카페모카|3900|image/cafe5/Hot카페모카.jpg
PRODUCT|Ice카페모카|4200|image/cafe5/Ice카페모카.jpg
PRODUCT|Hot카라멜마끼아또|3900|image/cafe5/Hot카라멜마끼아또.jpg
PRODUCT|Ice카라멜마끼아또|4200|image/cafe5/Ice카라멜마끼아또.jpg
PRODUCT|Hot스페니쉬라떼(연유)|3900|image/cafe5/Hot 스페니쉬라떼(연유).jpg
PRODUCT|Ice스페니쉬라떼(연유)|4200|image/cafe5/Ice 스페니쉬라떼(연유).jpg
PRODUCT|콜드브루(only Ice)|3400|image/cafe5/콜드브루(only ice).jpg
PRODUCT|콜드브루 라떼(only Ice)|4000|image/cafe5/콜드브루라떼(only ice).jpg
PRODUCT|Ice 뚱카노|3700|image/cafe5/Ice뚱카노.jpg
PRODUCT|샷추가|500|image/cafe5/샷추가.jpg
PRODUCT|디카페인 원두로 변경|500|image/cafe5/디카페인 원두로 변경.jpg

CATEGORY|신메뉴
PRODUCT|Hot 오곡라떼(미숫가루)|3800|image/cafe5/Hot 오곡라떼(미숫가루).jpg
PRODUCT|Ice 오곡라떼(미숫가루)|4100|image/cafe5/Ice 오곡라떼(미숫가루).jpg

CATEGORY|아이스크림
PRODUCT|소프트 아이스크림|2700|image/cafe5/소프트 아이스크림.jpg
PRODUCT|딸기연유 아이스크림|4400|image/cafe5/딸기연유 아이스크림.jpg
PRODUCT|아이스크림 카페라떼|4800|image/cafe5/아이스크림 카페라떼.jpg
PRODUCT|아포가토|3200|image/cafe5/아포가토.jpg
PRODUCT|오레오 아이스크림|3000|image/cafe5/오레오 아이스크림.jpg
PRODUCT|음료에 아이스크림 추가|1500|image/cafe5/음료에 아이스크림 추가.jpg

CATEGORY|시그니처
PRODUCT|로열밀크티|4600|image/cafe5/로열밀크티.jpg
PRODUCT|달고나 밀크티(only Ice)|4800|image/cafe5/달고나 밀크티(only ice).jpg
PRODUCT|아인슈페너(only Ice)|4600|image/cafe5/아인슈페너(only ice).jpg
PRODUCT|아인슈페너라떼(only Ice)|4900|image/cafe5/아인슈페너라떼(only Ice).jpg
PRODUCT|누텔라라떼(only Ice)|4600|image/cafe5/누텔라라떼(only Ice).jpg
PRODUCT|블랙버블티(only Ice)|4600|image/cafe5/블랙버블티(only Ice).jpg
PRODUCT|레드버블티(only Ice)|4600|image/cafe5/레드버블티(only Ice).jpg

CATEGORY|커피(1shot)
PRODUCT|mini_Hot 아메리카노(고소)|1800|image/cafe5/mini_Hot 아메리카노(고소).jpg
PRODUCT|mini_Hot 아메리카노(신맛)|1800|image/cafe5/mini_Hot 아메리카노(신맛).jpg
PRODUCT|mini_Ice 아메리카노(고소)|2100|image/cafe5/mini_Ice 아메리카노(고소).jpg
PRODUCT|mini_Ice 아메리카노(신맛)|2100|image/cafe5/mini_Ice 아메리카노(신맛).jpg
PRODUCT|mini_Hot 라떼(고소)|2500|image/cafe5/mini_Hot 라떼(고소).jpg
PRODUCT|mini_Hot 라떼(신맛)|2500|image/cafe5/mini_Hot 라떼(신맛).jpg
PRODUCT|mini_Ice 라떼(고소)|2800|image/cafe5/mini_Ice 라떼(고소).jpg
PRODUCT|mini_Ice 라떼(신맛)|2800|image/cafe5/mini_Ice 라떼(신맛).jpg
PRODUCT|에스프레소|1800|image/cafe5/에스프레소.jpg

CATEGORY|라떼 / 주스
PRODUCT|Hot 카카오라떼|3600|image/cafe5/Hot 카카오라떼.jpg
PRODUCT|Ice 카카오라떼|3900|image/cafe5/Ice 카카오라떼.jpg
PRODUCT|Hot 그린티라떼|3600|image/cafe5/Hot 그린티라떼.jpg
PRODUCT|Ice 그린티라떼|3900|image/cafe5/Ice 그린티라떼.jpg
PRODUCT|Hot 자색고구마라떼|3600|image/cafe5/Hot 자색고구마라떼.jpg
PRODUCT|Ice 자색고구마라떼|3900|image/cafe5/Ice 자색고구마라떼.jpg
